Name	Args	"Return Type"
min	"time with time zone"	"time with time zone"
min	"time without time zone"	"time without time zone"
min	"timestamp with time zone"	"timestamp with time zone"
min	"timestamp without time zone"	"timestamp without time zone"
mktinterval	"abstime, abstime"	tinterval
mod	"bigint, bigint"	bigint
mod	"integer, integer"	integer
mod	"numeric, numeric"	numeric
mod	"smallint, smallint"	smallint
mode	"ORDER BY anyelement"	anyelement
mode_final	"internal, anyelement"	anyelement
money	bigint	money
money	integer	money
money	numeric	money
mul_d_interval	"double precision, interval"	interval
mxid_age	xid	integer
name	character	name
name	"character varying"	name
name	text	name
nameeq	"name, name"	boolean
namege	"name, name"	boolean
namegt	"name, name"	boolean
nameiclike	"name, text"	boolean
nameicnlike	"name, text"	boolean
nameicregexeq	"name, text"	boolean
nameicregexne	"name, text"	boolean
namein	cstring	name
namele	"name, name"	boolean
namelike	"name, text"	boolean
namelt	"name, name"	boolean
namene	"name, name"	boolean
namenlike	"name, text"	boolean
nameout	name	cstring
namerecv	internal	name
nameregexeq	"name, text"	boolean
nameregexne	"name, text"	boolean
namesend	name	bytea
neqjoinsel	"internal, oid, internal, smallint, internal"	"double precision"
neqsel	"internal, oid, internal, integer"	"double precision"
netmask	inet	inet
network	inet	cidr
network_cmp	"inet, inet"	integer
network_eq	"inet, inet"	boolean
network_ge	"inet, inet"	boolean
network_gt	"inet, inet"	boolean
network_larger	"inet, inet"	inet
network_le	"inet, inet"	boolean
network_lt	"inet, inet"	boolean
network_ne	"inet, inet"	boolean
network_overlap	"inet, inet"	boolean
network_smaller	"inet, inet"	inet
network_sub	"inet, inet"	boolean
network_subeq	"inet, inet"	boolean
network_sup	"inet, inet"	boolean
network_supeq	"inet, inet"	boolean
networkjoinsel	"internal, oid, internal, smallint, internal"	"double precision"
networksel	"internal, oid, internal, integer"	"double precision"
nextval	regclass	bigint
nlikejoinsel	"internal, oid, internal, smallint, internal"	"double precision"
nlikesel	"internal, oid, internal, integer"	"double precision"
notlike	"bytea, bytea"	boolean
notlike	"name, text"	boolean
notlike	"text, text"	boolean
now		"timestamp with time zone"
npoints	path	integer
npoints	polygon	integer
nth_value	"anyelement, integer"	anyelement
ntile	integer	integer
num_nonnulls	"VARIADIC ""any"""	integer
num_nulls	"VARIADIC ""any"""	integer
numeric	bigint	numeric
numeric	"double precision"	numeric
numeric	integer	numeric
numeric	money	numeric
numeric	"numeric, integer"	numeric
numeric	real	numeric
numeric	smallint	numeric
numeric_abs	numeric	numeric
numeric_accum	"internal, numeric"	internal
numeric_accum_inv	"internal, numeric"	internal
numeric_add	"numeric, numeric"	numeric
numeric_avg	internal	numeric
numeric_avg_accum	"internal, numeric"	internal
numeric_avg_combine	"internal, internal"	internal
numeric_avg_deserialize	"bytea, internal"	internal
numeric_avg_serialize	internal	bytea
numeric_cmp	"numeric, numeric"	integer
numeric_combine	"internal, internal"	internal
numeric_deserialize	"bytea, internal"	internal
numeric_div	"numeric, numeric"	numeric
numeric_div_trunc	"numeric, numeric"	numeric
numeric_eq	"numeric, numeric"	boolean
numeric_exp	numeric	numeric
numeric_fac	bigint	numeric
numeric_ge	"numeric, numeric"	boolean
numeric_gt	"numeric, numeric"	boolean
numeric_in	"cstring, oid, integer"	numeric
numeric_inc	numeric	numeric
numeric_larger	"numeric, numeric"	numeric
numeric_le	"numeric, numeric"	boolean
numeric_ln	numeric	numeric
numeric_log	"numeric, numeric"	numeric
numeric_lt	"numeric, numeric"	boolean
numeric_mod	"numeric, numeric"	numeric
numeric_mul	"numeric, numeric"	numeric
numeric_ne	"numeric, numeric"	boolean
numeric_out	numeric	cstring
numeric_poly_avg	internal	numeric
numeric_poly_combine	"internal, internal"	internal
numeric_poly_deserialize	"bytea, internal"	internal
numeric_poly_serialize	internal	bytea
numeric_poly_stddev_pop	internal	numeric
numeric_poly_stddev_samp	internal	numeric
numeric_poly_sum	internal	numeric
numeric_poly_var_pop	internal	numeric
numeric_poly_var_samp	internal	numeric
numeric_power	"numeric, numeric"	numeric
numeric_recv	"internal, oid, integer"	numeric
numeric_send	numeric	bytea
numeric_serialize	internal	bytea
numeric_smaller	"numeric, numeric"	numeric
numeric_sortsupport	internal	void
numeric_sqrt	numeric	numeric
numeric_stddev_pop	internal	numeric
numeric_stddev_samp	internal	numeric
numeric_sub	"numeric, numeric"	numeric
numeric_sum	internal	numeric
numeric_transform	internal	internal
numeric_uminus	numeric	numeric
numeric_uplus	numeric	numeric
numeric_var_pop	internal	numeric
numeric_var_samp	internal	numeric
numerictypmodin	cstring[]	integer
numerictypmodout	integer	cstring
numnode	tsquery	integer
numrange	"numeric, numeric"	numrange
numrange	"numeric, numeric, text"	numrange
numrange_subdiff	"numeric, numeric"	"double precision"
obj_description	oid	text
obj_description	"oid, name"	text
octet_length	bit	integer
octet_length	bytea	integer
octet_length	character	integer
octet_length	text	integer
oid	bigint	oid
oideq	"oid, oid"	boolean
oidge	"oid, oid"	boolean
oidgt	"oid, oid"	boolean
oidin	cstring	oid
oidlarger	"oid, oid"	oid
oidle	"oid, oid"	boolean
oidlt	"oid, oid"	boolean
oidne	"oid, oid"	boolean
oidout	oid	cstring
oidrecv	internal	oid
oidsend	oid	bytea
oidsmaller	"oid, oid"	oid
oidvectoreq	"oidvector, oidvector"	boolean
oidvectorge	"oidvector, oidvector"	boolean
oidvectorgt	"oidvector, oidvector"	boolean
oidvectorin	cstring	oidvector
oidvectorle	"oidvector, oidvector"	boolean
oidvectorlt	"oidvector, oidvector"	boolean
oidvectorne	"oidvector, oidvector"	boolean
oidvectorout	oidvector	cstring
oidvectorrecv	internal	oidvector
oidvectorsend	oidvector	bytea
oidvectortypes	oidvector	text
on_pb	"point, box"	boolean
on_pl	"point, line"	boolean
on_ppath	"point, path"	boolean
on_ps	"point, lseg"	boolean
on_sb	"lseg, box"	boolean
on_sl	"lseg, line"	boolean
opaque_in	cstring	opaque
opaque_out	opaque	cstring
ordered_set_transition	"internal, ""any"""	internal
ordered_set_transition_multi	"internal, VARIADIC ""any"""	internal
overlaps	"time with time zone, time with time zone, time with time zone, time with time zone"	boolean
overlaps	"time without time zone, interval, time without time zone, interval"	boolean
overlaps	"time without time zone, interval, time without time zone, time without time zone"	boolean
overlaps	"time without time zone, time without time zone, time without time zone, interval"	boolean
overlaps	"time without time zone, time without time zone, time without time zone, time without time zone"	boolean
overlaps	"timestamp with time zone, interval, timestamp with time zone, interval"	boolean
overlaps	"timestamp with time zone, interval, timestamp with time zone, timestamp with time zone"	boolean
overlaps	"timestamp with time zone, timestamp with time zone, timestamp with time zone, interval"	boolean
overlaps	"timestamp with time zone, timestamp with time zone, timestamp with time zone, timestamp with time zone"	boolean
overlaps	"timestamp without time zone, interval, timestamp without time zone, interval"	boolean
overlaps	"timestamp without time zone, interval, timestamp without time zone, timestamp without time zone"	boolean
overlaps	"timestamp without time zone, timestamp without time zone, timestamp without time zone, interval"	boolean
overlaps	"timestamp without time zone, timestamp without time zone, timestamp without time zone, timestamp without time zone"	boolean
overlay	"bit, bit, integer"	bit
overlay	"bit, bit, integer, integer"	bit
overlay	"bytea, bytea, integer"	bytea
overlay	"bytea, bytea, integer, integer"	bytea
overlay	"text, text, integer"	text
overlay	"text, text, integer, integer"	text
parse_ident	"str text, strict boolean"	text[]
path	polygon	path
path_add	"path, path"	path
path_add_pt	"path, point"	path
path_center	path	point
path_contain_pt	"path, point"	boolean
path_distance	"path, path"	"double precision"
path_div_pt	"path, point"	path
path_in	cstring	path
path_inter	"path, path"	boolean
path_length	path	"double precision"
path_mul_pt	"path, point"	path
path_n_eq	"path, path"	boolean
path_n_ge	"path, path"	boolean
path_n_gt	"path, path"	boolean
path_n_le	"path, path"	boolean
path_n_lt	"path, path"	boolean
path_npoints	path	integer
path_out	path	cstring
path_recv	internal	path
path_send	path	bytea
path_sub_pt	"path, point"	path
pclose	path	path
percent_rank		"double precision"
percent_rank	"VARIADIC ""any"" ORDER BY VARIADIC ""any"""	"double precision"
percent_rank_final	"internal, VARIADIC ""any"""	"double precision"
percentile_cont	"double precision ORDER BY double precision"	"double precision"
percentile_cont	"double precision ORDER BY interval"	interval
percentile_cont	"double precision[] ORDER BY double precision"	"double precision[]"
percentile_cont	"double precision[] ORDER BY interval"	interval[]
percentile_cont_float8_final	"internal, double precision"	"double precision"
percentile_cont_float8_multi_final	"internal, double precision[]"	"double precision[]"
percentile_cont_interval_final	"internal, double precision"	interval
percentile_cont_interval_multi_final	"internal, double precision[]"	interval[]
percentile_disc	"double precision ORDER BY anyelement"	anyelement
percentile_disc	"double precision[] ORDER BY anyelement"	anyarray
percentile_disc_final	"internal, double precision, anyelement"	anyelement
percentile_disc_multi_final	"internal, double precision[], anyelement"	anyarray
pg_advisory_lock	bigint	void
pg_advisory_lock	"integer, integer"	void
pg_advisory_lock_shared	bigint	void
pg_advisory_lock_shared	"integer, integer"	void
pg_advisory_unlock	bigint	boolean
pg_advisory_unlock	"integer, integer"	boolean
pg_advisory_unlock_all		void
pg_advisory_unlock_shared	bigint	boolean
pg_advisory_unlock_shared	"integer, integer"	boolean
pg_advisory_xact_lock	bigint	void
pg_advisory_xact_lock	"integer, integer"	void
pg_advisory_xact_lock_shared	bigint	void
pg_advisory_xact_lock_shared	"integer, integer"	void
pg_available_extension_versions	"OUT name name, OUT version text, OUT superuser boolean, OUT relocatable boolean, OUT schema name, OUT requires name[], OUT comment text"	"SETOF record"
pg_available_extensions	"OUT name name, OUT default_version text, OUT comment text"	"SETOF record"
pg_backend_pid		integer
pg_backup_start_time		"timestamp with time zone"
pg_blocking_pids	integer	integer[]
pg_cancel_backend	integer	boolean
pg_char_to_encoding	name	integer
pg_client_encoding		name
pg_collation_actual_version	oid	text
pg_collation_for	"""any"""	text
pg_collation_is_visible	oid	boolean
pg_column_is_updatable	"regclass, smallint, boolean"	boolean
pg_column_size	"""any"""	integer
pg_conf_load_time		"timestamp with time zone"
pg_config	"OUT name text, OUT setting text"	"SETOF record"
pg_control_checkpoint	"OUT checkpoint_lsn pg_lsn, OUT prior_lsn pg_lsn, OUT redo_lsn pg_lsn, OUT redo_wal_file text, OUT timeline_id integer, OUT prev_timeline_id integer, OUT full_page_writes boolean, OUT next_xid text, OUT next_oid oid, OUT next_multixact_id xid, OUT next_multi_offset xid, OUT oldest_xid xid, OUT oldest_xid_dbid oid, OUT oldest_active_xid xid, OUT oldest_multi_xid xid, OUT oldest_multi_dbid oid, OUT oldest_commit_ts_xid xid, OUT newest_commit_ts_xid xid, OUT checkpoint_time timestamp with time zone"	record
pg_control_init	"OUT max_data_alignment integer, OUT database_block_size integer, OUT blocks_per_segment integer, OUT wal_block_size integer, OUT bytes_per_wal_segment integer, OUT max_identifier_length integer, OUT max_index_columns integer, OUT max_toast_chunk_size integer, OUT large_object_chunk_size integer, OUT float4_pass_by_value boolean, OUT float8_pass_by_value boolean, OUT data_page_checksum_version integer"	record
pg_control_recovery	"OUT min_recovery_end_lsn pg_lsn, OUT min_recovery_end_timeline integer, OUT backup_start_lsn pg_lsn, OUT backup_end_lsn pg_lsn, OUT end_of_backup_record_required boolean"	record
pg_control_system	"OUT pg_control_version integer, OUT catalog_version_no integer, OUT system_identifier bigint, OUT pg_control_last_modified timestamp with time zone"	record
pg_conversion_is_visible	oid	boolean
pg_create_logical_replication_slot	"slot_name name, plugin name, temporary boolean, OUT slot_name text, OUT lsn pg_lsn"	record
pg_create_physical_replication_slot	"slot_name name, immediately_reserve boolean, temporary boolean, OUT slot_name name, OUT lsn pg_lsn"	record
pg_create_restore_point	text	pg_lsn
pg_current_logfile		text
pg_current_logfile	text	text
pg_current_wal_flush_lsn		pg_lsn
pg_current_wal_insert_lsn		pg_lsn
pg_current_wal_lsn		pg_lsn
pg_cursor	"OUT name text, OUT statement text, OUT is_holdable boolean, OUT is_binary boolean, OUT is_scrollable boolean, OUT creation_time timestamp with time zone"	"SETOF record"
pg_database_size	name	bigint
pg_database_size	oid	bigint
pg_ddl_command_in	cstring	pg_ddl_command
pg_ddl_command_out	pg_ddl_command	cstring
pg_ddl_command_recv	internal	pg_ddl_command
pg_ddl_command_send	pg_ddl_command	bytea
pg_dependencies_in	cstring	pg_dependencies
pg_dependencies_out	pg_dependencies	cstring
pg_dependencies_recv	internal	pg_dependencies
pg_dependencies_send	pg_dependencies	bytea
pg_describe_object	"oid, oid, integer"	text
pg_drop_replication_slot	name	void
pg_encoding_max_length	integer	integer
pg_encoding_to_char	integer	name
pg_event_trigger_ddl_commands	"OUT classid oid, OUT objid oid, OUT objsubid integer, OUT command_tag text, OUT object_type text, OUT schema_name text, OUT object_identity text, OUT in_extension boolean, OUT command pg_ddl_command"	"SETOF record"
pg_event_trigger_dropped_objects	"OUT classid oid, OUT objid oid, OUT objsubid integer, OUT original boolean, OUT normal boolean, OUT is_temporary boolean, OUT object_type text, OUT schema_name text, OUT object_name text, OUT object_identity text, OUT address_names text[], OUT address_args text[]"	"SETOF record"
pg_event_trigger_table_rewrite_oid	"OUT oid oid"	oid
pg_event_trigger_table_rewrite_reason		integer
pg_export_snapshot		text
pg_extension_config_dump	"regclass, text"	void
pg_extension_update_paths	"name name, OUT source text, OUT target text, OUT path text"	"SETOF record"
pg_filenode_relation	"oid, oid"	regclass
pg_function_is_visible	oid	boolean
pg_get_constraintdef	oid	text
pg_get_constraintdef	"oid, boolean"	text
pg_get_expr	"pg_node_tree, oid"	text
pg_get_expr	"pg_node_tree, oid, boolean"	text
pg_get_function_arg_default	"oid, integer"	text
pg_get_function_arguments	oid	text
pg_get_function_identity_arguments	oid	text
pg_get_function_result	oid	text
pg_get_functiondef	oid	text
pg_get_indexdef	oid	text
pg_get_indexdef	"oid, integer, boolean"	text
pg_get_keywords	"OUT word text, OUT catcode ""char"", OUT catdesc text"	"SETOF record"
pg_get_multixact_members	"multixid xid, OUT xid xid, OUT mode text"	"SETOF record"
pg_get_object_address	"type text, name text[], args text[], OUT classid oid, OUT objid oid, OUT objsubid integer"	record
pg_get_partition_constraintdef	oid	text
pg_get_partkeydef	oid	text
pg_get_publication_tables	"pubname text, OUT relid oid"	"SETOF oid"
pg_get_replica_identity_index	regclass	regclass
pg_get_replication_slots	"OUT slot_name name, OUT plugin name, OUT slot_type text, OUT datoid oid, OUT temporary boolean, OUT active boolean, OUT active_pid integer, OUT xmin xid, OUT catalog_xmin xid, OUT restart_lsn pg_lsn, OUT confirmed_flush_lsn pg_lsn"	"SETOF record"
pg_get_ruledef	oid	text
pg_get_ruledef	"oid, boolean"	text
pg_get_serial_sequence	"text, text"	text
pg_get_statisticsobjdef	oid	text
pg_get_triggerdef	oid	text
pg_get_triggerdef	"oid, boolean"	text
pg_get_userbyid	oid	name
pg_get_viewdef	oid	text
pg_get_viewdef	"oid, boolean"	text
pg_get_viewdef	"oid, integer"	text
pg_get_viewdef	text	text
pg_get_viewdef	"text, boolean"	text
pg_has_role	"name, name, text"	boolean
pg_has_role	"name, oid, text"	boolean
pg_has_role	"name, text"	boolean
pg_has_role	"oid, name, text"	boolean
pg_has_role	"oid, oid, text"	boolean
pg_has_role	"oid, text"	boolean
pg_hba_file_rules	"OUT line_number integer, OUT type text, OUT database text[], OUT user_name text[], OUT address text, OUT netmask text, OUT auth_method text, OUT options text[], OUT error text"	"SETOF record"
pg_identify_object	"classid oid, objid oid, objsubid integer, OUT type text, OUT schema text, OUT name text, OUT identity text"	record
pg_identify_object_as_address	"classid oid, objid oid, objsubid integer, OUT type text, OUT object_names text[], OUT object_args text[]"	record
pg_import_system_collations	regnamespace	integer
pg_index_column_has_property	"regclass, integer, text"	boolean
pg_index_has_property	"regclass, text"	boolean
pg_indexam_has_property	"oid, text"	boolean
pg_indexes_size	regclass	bigint
pg_is_in_backup		boolean
pg_is_in_recovery		boolean
pg_is_other_temp_schema	oid	boolean
pg_is_wal_replay_paused		boolean
pg_isolation_test_session_is_blocked	"integer, integer[]"	boolean
pg_last_committed_xact	"OUT xid xid, OUT ""timestamp"" timestamp with time zone"	record
pg_last_wal_receive_lsn		pg_lsn
pg_last_wal_replay_lsn		pg_lsn
pg_last_xact_replay_timestamp		"timestamp with time zone"
pg_listening_channels		"SETOF text"
pg_lock_status	"OUT locktype text, OUT database oid, OUT relation oid, OUT page integer, OUT tuple smallint, OUT virtualxid text, OUT transactionid xid, OUT classid oid, OUT objid oid, OUT objsubid smallint, OUT virtualtransaction text, OUT pid integer, OUT mode text, OUT granted boolean, OUT fastpath boolean"	"SETOF record"
pg_logical_emit_message	"boolean, text, bytea"	pg_lsn
pg_logical_emit_message	"boolean, text, text"	pg_lsn
pg_logical_slot_get_binary_changes	"slot_name name, upto_lsn pg_lsn, upto_nchanges integer, VARIADIC options text[], OUT lsn pg_lsn, OUT xid xid, OUT data bytea"	"SETOF record"
pg_logical_slot_get_changes	"slot_name name, upto_lsn pg_lsn, upto_nchanges integer, VARIADIC options text[], OUT lsn pg_lsn, OUT xid xid, OUT data text"	"SETOF record"
pg_logical_slot_peek_binary_changes	"slot_name name, upto_lsn pg_lsn, upto_nchanges integer, VARIADIC options text[], OUT lsn pg_lsn, OUT xid xid, OUT data bytea"	"SETOF record"
pg_logical_slot_peek_changes	"slot_name name, upto_lsn pg_lsn, upto_nchanges integer, VARIADIC options text[], OUT lsn pg_lsn, OUT xid xid, OUT data text"	"SETOF record"
pg_ls_dir	text	"SETOF text"
pg_ls_dir	"text, boolean, boolean"	"SETOF text"
pg_ls_logdir	"OUT name text, OUT size bigint, OUT modification timestamp with time zone"	"SETOF record"
pg_ls_waldir	"OUT name text, OUT size bigint, OUT modification timestamp with time zone"	"SETOF record"
pg_lsn_cmp	"pg_lsn, pg_lsn"	integer
pg_lsn_eq	"pg_lsn, pg_lsn"	boolean
pg_lsn_ge	"pg_lsn, pg_lsn"	boolean
pg_lsn_gt	"pg_lsn, pg_lsn"	boolean
pg_lsn_hash	pg_lsn	integer
pg_lsn_in	cstring	pg_lsn
pg_lsn_le	"pg_lsn, pg_lsn"	boolean
pg_lsn_lt	"pg_lsn, pg_lsn"	boolean
pg_lsn_mi	"pg_lsn, pg_lsn"	numeric
pg_lsn_ne	"pg_lsn, pg_lsn"	boolean
pg_lsn_out	pg_lsn	cstring
pg_lsn_recv	internal	pg_lsn
pg_lsn_send	pg_lsn	bytea
pg_my_temp_schema		oid
pg_ndistinct_in	cstring	pg_ndistinct
pg_ndistinct_out	pg_ndistinct	cstring
pg_ndistinct_recv	internal	pg_ndistinct
pg_ndistinct_send	pg_ndistinct	bytea
pg_node_tree_in	cstring	pg_node_tree
pg_node_tree_out	pg_node_tree	cstring
pg_node_tree_recv	internal	pg_node_tree
pg_node_tree_send	pg_node_tree	bytea
pg_notification_queue_usage		"double precision"
pg_notify	"text, text"	void
pg_opclass_is_visible	oid	boolean
pg_operator_is_visible	oid	boolean
pg_opfamily_is_visible	oid	boolean
pg_options_to_table	"options_array text[], OUT option_name text, OUT option_value text"	"SETOF record"
pg_postmaster_start_time		"timestamp with time zone"
pg_prepared_statement	"OUT name text, OUT statement text, OUT prepare_time timestamp with time zone, OUT parameter_types regtype[], OUT from_sql boolean"	"SETOF record"
pg_prepared_xact	"OUT transaction xid, OUT gid text, OUT prepared timestamp with time zone, OUT ownerid oid, OUT dbid oid"	"SETOF record"
pg_read_binary_file	text	bytea
pg_read_binary_file	"text, bigint, bigint"	bytea
pg_read_binary_file	"text, bigint, bigint, boolean"	bytea
pg_read_file	text	text
pg_read_file	"text, bigint, bigint"	text
pg_read_file	"text, bigint, bigint, boolean"	text
pg_relation_filenode	regclass	oid
pg_relation_filepath	regclass	text
pg_relation_is_publishable	regclass	boolean
pg_relation_is_updatable	"regclass, boolean"	integer
pg_relation_size	regclass	bigint
pg_relation_size	"regclass, text"	bigint
pg_reload_conf		boolean
pg_replication_origin_advance	"text, pg_lsn"	void
pg_replication_origin_create	text	oid
pg_replication_origin_drop	text	void
pg_replication_origin_oid	text	oid
pg_replication_origin_progress	"text, boolean"	pg_lsn
pg_replication_origin_session_is_setup		boolean
pg_replication_origin_session_progress	boolean	pg_lsn
pg_replication_origin_session_reset		void
pg_replication_origin_session_setup	text	void
pg_replication_origin_xact_reset		void
pg_replication_origin_xact_setup	"pg_lsn, timestamp with time zone"	void
pg_rotate_logfile		boolean
pg_safe_snapshot_blocking_pids	integer	integer[]
pg_sequence_last_value	regclass	bigint
pg_sequence_parameters	"sequence_oid oid, OUT start_value bigint, OUT minimum_value bigint, OUT maximum_value bigint, OUT increment bigint, OUT cycle_option boolean, OUT cache_size bigint, OUT data_type oid"	record
pg_show_all_file_settings	"OUT sourcefile text, OUT sourceline integer, OUT seqno integer, OUT name text, OUT setting text, OUT applied boolean, OUT error text"	"SETOF record"
pg_show_all_settings	"OUT name text, OUT setting text, OUT unit text, OUT category text, OUT short_desc text, OUT extra_desc text, OUT context text, OUT vartype text, OUT source text, OUT min_val text, OUT max_val text, OUT enumvals text[], OUT boot_val text, OUT reset_val text, OUT sourcefile text, OUT sourceline integer, OUT pending_restart boolean"	"SETOF record"
pg_show_replication_origin_status	"OUT local_id oid, OUT external_id text, OUT remote_lsn pg_lsn, OUT local_lsn pg_lsn"	"SETOF record"
pg_size_bytes	text	bigint
pg_size_pretty	bigint	text
pg_size_pretty	numeric	text
pg_sleep	"double precision"	void
pg_sleep_for	interval	void
pg_sleep_until	"timestamp with time zone"	void
pg_start_backup	"label text, fast boolean, exclusive boolean"	pg_lsn
pg_stat_clear_snapshot		void
pg_stat_file	"filename text, OUT size bigint, OUT access timestamp with time zone, OUT modification timestamp with time zone, OUT change timestamp with time zone, OUT creation timestamp with time zone, OUT isdir boolean"	record
pg_stat_file	"filename text, missing_ok boolean, OUT size bigint, OUT access timestamp with time zone, OUT modification timestamp with time zone, OUT change timestamp with time zone, OUT creation timestamp with time zone, OUT isdir boolean"	record
pg_stat_get_activity	"pid integer, OUT datid oid, OUT pid integer, OUT usesysid oid, OUT application_name text, OUT state text, OUT query text, OUT wait_event_type text, OUT wait_event text, OUT xact_start timestamp with time zone, OUT query_start timestamp with time zone, OUT backend_start timestamp with time zone, OUT state_change timestamp with time zone, OUT client_addr inet, OUT client_hostname text, OUT client_port integer, OUT backend_xid xid, OUT backend_xmin xid, OUT backend_type text, OUT ssl boolean, OUT sslversion text, OUT sslcipher text, OUT sslbits integer, OUT sslcompression boolean, OUT sslclientdn text"	"SETOF record"
pg_stat_get_analyze_count	oid	bigint
pg_stat_get_archiver	"OUT archived_count bigint, OUT last_archived_wal text, OUT last_archived_time timestamp with time zone, OUT failed_count bigint, OUT last_failed_wal text, OUT last_failed_time timestamp with time zone, OUT stats_reset timestamp with time zone"	record
pg_stat_get_autoanalyze_count	oid	bigint
pg_stat_get_autovacuum_count	oid	bigint
pg_stat_get_backend_activity	integer	text
pg_stat_get_backend_activity_start	integer	"timestamp with time zone"
pg_stat_get_backend_client_addr	integer	inet
pg_stat_get_backend_client_port	integer	integer
pg_stat_get_backend_dbid	integer	oid
pg_stat_get_backend_idset		"SETOF integer"
pg_stat_get_backend_pid	integer	integer
pg_stat_get_backend_start	integer	"timestamp with time zone"
pg_stat_get_backend_userid	integer	oid
pg_stat_get_backend_wait_event	integer	text
pg_stat_get_backend_wait_event_type	integer	text
pg_stat_get_backend_xact_start	integer	"timestamp with time zone"
pg_stat_get_bgwriter_buf_written_checkpoints		bigint
pg_stat_get_bgwriter_buf_written_clean		bigint
pg_stat_get_bgwriter_maxwritten_clean		bigint
pg_stat_get_bgwriter_requested_checkpoints		bigint
pg_stat_get_bgwriter_stat_reset_time		"timestamp with time zone"
pg_stat_get_bgwriter_timed_checkpoints		bigint
pg_stat_get_blocks_fetched	oid	bigint
pg_stat_get_blocks_hit	oid	bigint
pg_stat_get_buf_alloc		bigint
pg_stat_get_buf_fsync_backend		bigint
pg_stat_get_buf_written_backend		bigint
pg_stat_get_checkpoint_sync_time		"double precision"
pg_stat_get_checkpoint_write_time		"double precision"
pg_stat_get_db_blk_read_time	oid	"double precision"
pg_stat_get_db_blk_write_time	oid	"double precision"
pg_stat_get_db_blocks_fetched	oid	bigint
pg_stat_get_db_blocks_hit	oid	bigint
pg_stat_get_db_conflict_all	oid	bigint
pg_stat_get_db_conflict_bufferpin	oid	bigint
pg_stat_get_db_conflict_lock	oid	bigint
pg_stat_get_db_conflict_snapshot	oid	bigint
pg_stat_get_db_conflict_startup_deadlock	oid	bigint
pg_stat_get_db_conflict_tablespace	oid	bigint
pg_stat_get_db_deadlocks	oid	bigint
pg_stat_get_db_numbackends	oid	integer
pg_stat_get_db_stat_reset_time	oid	"timestamp with time zone"
pg_stat_get_db_temp_bytes	oid	bigint
pg_stat_get_db_temp_files	oid	bigint
pg_stat_get_db_tuples_deleted	oid	bigint
pg_stat_get_db_tuples_fetched	oid	bigint
pg_stat_get_db_tuples_inserted	oid	bigint
pg_stat_get_db_tuples_returned	oid	bigint
pg_stat_get_db_tuples_updated	oid	bigint
pg_stat_get_db_xact_commit	oid	bigint
pg_stat_get_db_xact_rollback	oid	bigint
pg_stat_get_dead_tuples	oid	bigint
pg_stat_get_function_calls	oid	bigint
pg_stat_get_function_self_time	oid	"double precision"
pg_stat_get_function_total_time	oid	"double precision"
pg_stat_get_last_analyze_time	oid	"timestamp with time zone"
pg_stat_get_last_autoanalyze_time	oid	"timestamp with time zone"
pg_stat_get_last_autovacuum_time	oid	"timestamp with time zone"
pg_stat_get_last_vacuum_time	oid	"timestamp with time zone"
pg_stat_get_live_tuples	oid	bigint
pg_stat_get_mod_since_analyze	oid	bigint
pg_stat_get_numscans	oid	bigint
pg_stat_get_progress_info	"cmdtype text, OUT pid integer, OUT datid oid, OUT relid oid, OUT param1 bigint, OUT param2 bigint, OUT param3 bigint, OUT param4 bigint, OUT param5 bigint, OUT param6 bigint, OUT param7 bigint, OUT param8 bigint, OUT param9 bigint, OUT param10 bigint"	"SETOF record"
pg_stat_get_snapshot_timestamp		"timestamp with time zone"
pg_stat_get_subscription	"subid oid, OUT subid oid, OUT relid oid, OUT pid integer, OUT received_lsn pg_lsn, OUT last_msg_send_time timestamp with time zone, OUT last_msg_receipt_time timestamp with time zone, OUT latest_end_lsn pg_lsn, OUT latest_end_time timestamp with time zone"	record
pg_stat_get_tuples_deleted	oid	bigint
pg_stat_get_tuples_fetched	oid	bigint
pg_stat_get_tuples_hot_updated	oid	bigint
pg_stat_get_tuples_inserted	oid	bigint
pg_stat_get_tuples_returned	oid	bigint
pg_stat_get_tuples_updated	oid	bigint
pg_stat_get_vacuum_count	oid	bigint
pg_stat_get_wal_receiver	"OUT pid integer, OUT status text, OUT receive_start_lsn pg_lsn, OUT receive_start_tli integer, OUT received_lsn pg_lsn, OUT received_tli integer, OUT last_msg_send_time timestamp with time zone, OUT last_msg_receipt_time timestamp with time zone, OUT latest_end_lsn pg_lsn, OUT latest_end_time timestamp with time zone, OUT slot_name text, OUT conninfo text"	record
pg_stat_get_wal_senders	"OUT pid integer, OUT state text, OUT sent_lsn pg_lsn, OUT write_lsn pg_lsn, OUT flush_lsn pg_lsn, OUT replay_lsn pg_lsn, OUT write_lag interval, OUT flush_lag interval, OUT replay_lag interval, OUT sync_priority integer, OUT sync_state text"	"SETOF record"
pg_stat_get_xact_blocks_fetched	oid	bigint
pg_stat_get_xact_blocks_hit	oid	bigint
pg_stat_get_xact_function_calls	oid	bigint
pg_stat_get_xact_function_self_time	oid	"double precision"
pg_stat_get_xact_function_total_time	oid	"double precision"
pg_stat_get_xact_numscans	oid	bigint
pg_stat_get_xact_tuples_deleted	oid	bigint
pg_stat_get_xact_tuples_fetched	oid	bigint
pg_stat_get_xact_tuples_hot_updated	oid	bigint
pg_stat_get_xact_tuples_inserted	oid	bigint
pg_stat_get_xact_tuples_returned	oid	bigint
pg_stat_get_xact_tuples_updated	oid	bigint
pg_stat_reset		void
